Player Name,Last Updated,Name,Birthday,Country,Team,Mouse Model,Mouse DPI,Mouse Sensitivity
s1mple,20 Mar 2024,Oleksandr Kostyliev,"October 2, 1997",Ukraine,Falcons Esports,Logitech G Pro X Superlight 2 Black,400,3.09
NiKo,20 Mar 2024,Nikola Kovač,"February 16, 1997",Bosnia & Herzegovina,G2 Esports,VAXEE ZYGEN NP-01 Wireless Pink,800,0.69
m0NESY,20 Mar 2024,Ilya Osipov,"May 1, 2005",Russia,G2 Esports,Logitech G Pro X Superlight 2 Black,400,2
TenZ,20 Mar 2024,Tyson Ngo,"May 5, 2001",Canada,Sentinels,Ninjutso Sora V2,1600,0.12
b1t,20 Mar 2024,Valerii Vakhovskyi,"January 5, 2003",Ukraine,Natus Vincere,Logitech G Pro X Superlight 2 White,400,1.42
Twistzz,20 Mar 2024,Russel Van Dulken,"November 14, 1999",Canada,Team Liquid,Logitech G Pro X Superlight Red,400,1.7
ZywOo,20 Mar 2024,Mathieu Herbaut,"November 9, 2000",France,Team Vitality,VAXEE OUTSET AX Wireless Yellow,400,2
ropz,20 Mar 2024,Robin Kool,"December 22, 1999",Estonia,FaZe Clan,ZOWIE EC2-CW,400,1.77
XANTARES,20 Mar 2024,Can Dörtkardeş,"August 7, 1995",Turkey,Eternal Fire,ZOWIE FK1-C,400,2.3
ScreaM,20 Mar 2024,Adil Benrlitom,"July 2, 1994",Belgium,Karmine Corp,Finalmouse Classic Ergo 2,400,0.786
device,20 Mar 2024,Nicolai Reedtz,"September 8, 1995",Denmark,Astralis,Logitech G Pro X Superlight 2 Magenta,400,2.00
yay,20 Mar 2024,Jaccob Whiteaker,"September 9, 1998",United States,Bleed eSports,Logitech G Pro X Superlight Black,800,0.27
kennyS,20 Mar 2024,Kenny Schrub,"May 19, 1995",France,Falcons Esports,Razer Deathadder V3 Pro White,400,2.2
electronic,20 Mar 2024,Denis Sharipov,"September 2, 1998",Russia,Cloud9,Razer DeathAdder V3 Pro Faker Edition,400,2.2
YEKINDAR,20 Mar 2024,Mareks Gaļinskis,"October 4, 1999",Latvia,Team Liquid,Razer Deathadder V3 Pro White,800,1.2
Aunkere,20 Mar 2024,Eugene Karyat,"August 21, 2001",Russia,Free Agent,Logitech G Pro X Superlight 2 White,500,2.4
shroud,20 Mar 2024,Michael Grzesiek,"June 2, 1994",Canada,Content Creator,Logitech G303 Shroud Edition,800,1.2
byali,20 Mar 2024,Paweł Bieliński,"April 30, 1994",Poland,Free Agent,Razer Deathadder V3 Pro Black,400,1.22
honda,20 Mar 2024,Lucas Cano,"July 21, 2000",Brazil,Free Agent,ZOWIE EC2-CW,400,1.2
fox,20 Mar 2024,Ricardo Pacheco,"November 15, 1986",Portugal,Free Agent,VAXEE XE Wireless Blue,400,4.70
DD,20 Mar 2024,Wu Hui,"August 11, 1994",China,Free Agent,ZOWIE S2 Divina Pink,400,3.09
adreN,17 Jan 2024,Eric Hoag,"April 26, 1990",United States,Retired,Logitech G Pro Wireless,400,2.25
Kvem,20 Mar 2024,Vladyslav Korol,"August 29, 2001",Ukraine,IKLA,Logitech G Pro X Superlight Magenta,400,3
neaLaN,20 Mar 2024,Sanzhar Iskhakov,"August 6, 2000",Kazakhstan,Free Agent,Razer Deathadder V3 Pro Black,400,2.00
maty,20 Mar 2024,Armandas Kneita,N/A,Lithuania,Free Agent,ZOWIE EC2-B Divina Pink,400,1.7
tudsoN,20 Mar 2024,Filip Tudev,"March 10, 2000",Poland,Free Agent,SteelSeries Prime Wireless,400,2.00
Lucky,21 Aug 2023,Philip Ewald,"December 13, 2002",Denmark,Espionage,SteelSeries Rival 300,1600,0.70
LUCAS1,20 Mar 2024,Lucas Teles,"July 14, 1995",Brazil,Flamengo Esports,Logitech G Pro X Superlight 2 Magenta,400,2.20
xsepower,20 Mar 2024,Bogdan Chernikov,"February 26, 1998",Russia,Free Agent,ZOWIE EC2-CW,400,2.20
Freeman,20 Mar 2024,WinghEi Cheung,"July 25, 1999",Hong Kong SAR China,TyLoo,ZOWIE FK1,400,2.20
Walco,20 Mar 2024,Colby Walsh,"November 12, 2001",Canada,NRG,Logitech G Pro X Superlight Black,400,1.55
steel,20 Mar 2024,Lucas Lopes,"November 19, 1993",Brazil,Retired,Razer Deathadder V3 Pro Black,400,1.60
MAJ3R,20 Mar 2024,Engin Kupeli,"January 25, 1991",Turkey,Eternal Fire,Logitech G Pro X Superlight 2 Black,400,1.8
JamYoung,20 Mar 2024,Yi Yang,"July 23, 2001",China,TyLoo,ZOWIE EC2-CW,400,2.2
wiz,20 Mar 2024,Jerric Jiang,"February 21, 2001",United States,Free Agent,Logitech G Pro X Superlight Black,800,1.2
malta,20 Mar 2024,Liam Schembri,"November 1, 2022",Australia,Retired,ZOWIE EC2-B Divina Pink,400,2.00
tenzki,20 Mar 2024,Jesper Mikalski,"June 25, 1994",Denmark,Free Agent,ZOWIE EC2-CW,400,1.80
Nifty,20 Mar 2024,Noah Francis,"November 23, 1997",United States,Free Agent,Logitech G Pro X Superlight Black,400,2.20
Maniac,20 Mar 2024,Mathieu Quiquerez,"June 29, 1990",Switzerland,Retired,Logitech G Pro X Superlight Black,800,1.05
stanislaw,20 Mar 2024,Peter Jarguz,"December 28, 1997",Canada,Wildcard Gaming,Razer Viper Ultimate,400,2.50
JDC,13 Feb 2024,Jon de Castro,"April 7, 2000",Germany,BIG,ZOWIE EC2-CW,400,2.10
Buzz,25 Nov 2023,Christian Møss Andersen,"March 14, 2003",Denmark,Astralis,Logitech G Pro X Superlight White,2300,0.42
meyern,28 Feb 2024,Ignacio Meyer,"September 10, 2002",Argentina,BESTIA,Logitech G Pro X Superlight Red,400,2.50
v1c7oR,20 Mar 2023,Viktor Dyankov,"July 28, 1994",Bulgaria,K1CK,Logitech G Pro X Superlight Black,800,0.64
h4rn,15 Aug 2023,Deyvid Benchev,"June 7, 2000",Bulgaria,Pompa Team,VAXEE ZYGEN NP-01,400,2.05
REDSTAR,03 Oct 2023,Hristiyan Pironkov,"August 15, 2001",Bulgaria,500,Logitech G Pro X Superlight 2 Magenta,400,2.00
speed4k,14 Feb 2024,Anton Titov,"June 4, 1996",Russia,Retired,Logitech G Pro X Superlight Black,400,2.00
allu,01 Jun 2023,Aleksi Jalli,"May 20, 1992",Finland,JANO Esports,Logitech G Pro X Superlight Black,400,3.00
aizy,16 Dec 2023,Philip Aistrup,"June 4, 1996",Denmark,Free Agent,Razer Deathadder V3 Pro Black,400,2.20
denis,06 Jan 2023,Denis Howell,"August 18, 1994",Germany,Free Agent,VAXEE ZYGEN NP-01,400,1.60
XigN,29 Dec 2022,Hyun-pyo Lee,"March 26, 1997",South Korea,Team NKT,SteelSeries Rival 110,400,2.2
balblna,28 Apr 2023,Gregory Oleinick,"January 15, 1996",Russia,Retired,ZOWIE EC1-A,400,3.00
mds,29 Dec 2022,Aleksandr Rubets,"August 13, 1998",Belarus,Websterz,Logitech G Pro X Superlight Black,400,2.01
Dosia,16 Nov 2023,Mikhail Stolyarov,"June 19, 1988",Russia,Forward Gaming,VAXEE OUTSET AX,400,2.8
mou,15 Nov 2023,Rüstem Tlepov,"October 17, 1991",Kazakhstan,Forward Gaming,Logitech G Pro X Superlight Black,400,2.70
AdreN,20 Mar 2024,Dauren Kystaubayev,"February 4, 1990",Kazakhstan,Content Creator,ZOWIE EC3-C,800,1.27
SANJI,28 Apr 2023,Sanjar Kuliev,"November 18, 1998",Uzbekistan,Retired,Xtrfy M4 Black,400,1.22
MODDII,23 Dec 2023,Andreas Fridh,"July 18, 1989",Sweden,Retired,ZOWIE EC1-A,400,2.20
Bubzkji,26 Nov 2023,Lucas Andersen,"July 3, 1998",Denmark,Retired,ZOWIE EC2-CW,800,0.8
USTILO,08 Jan 2024,Karlo Pivac,"August 10, 1993",Australia,Retired,Logitech G Pro X Superlight Black,800,1.20
